Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2019-03-27,177.03,40.2,85.22,29.16,113.56,184.06,166.47,58.29,42.65,53.86,169.48,200.08,41.73,57.66,76.12,54.41,43.59,47.05,36.66,21.27,133.35,484.94,35.53,167.98,12.02,10.73,164.29,18.59,146.8,79.37,87.35,52.6,17.83,81.32,11.48,36.47,19.82,84.82,82.13,25.61,45.82,40.03,24.81,34.21,73.35,32.44
2019-03-28,177.73,40.34,85.69,29.41,114.21,184.2,175.12,58.28,42.98,54.01,173.7,203.45,41.87,58.02,75.77,54.37,43.63,47.25,36.63,20.65,137.64,497.15,35.72,169.17,11.99,10.88,164.11,18.13,167.54,79.86,85.92,53.81,17.98,80.01,11.5,36.9,19.42,86.27,83.34,25.23,45.99,40.26,24.53,34.93,73.47,32.45
2019-03-29,182.45,40.96,86.15,30.15,115.46,188.05,176.02,58.29,40.43,54.67,175.93,206.62,41.79,58.85,75.55,54.33,43.72,48.29,36.26,20.37,138.8,507.73,36.08,170.7,12.11,10.93,164.85,18.18,163.87,80.56,88.39,54.38,18.28,80.75,11.65,36.94,19.89,90.09,83.75,24.92,47.89,40.68,24.21,35.72,73.53,32.43
2019-04-01,180.89,41.37,85.76,31.26,115.82,192.48,176.32,57.96,41.27,56.0,176.58,206.04,41.81,59.85,76.95,55.53,44.09,51.2,36.4,20.49,140.06,518.11,36.03,173.44,12.4,11.09,170.4,18.6,165.52,82.24,94.39,54.66,18.45,83.66,12.03,36.92,20.25,89.04,85.48,24.9,48.43,40.89,24.15,35.45,76.86,32.94
2019-04-02,181.74,41.27,85.02,30.29,115.81,193.84,175.37,57.94,41.59,56.11,178.02,201.46,41.88,60.98,77.23,55.65,44.23,51.66,36.61,20.28,142.55,509.99,36.37,173.14,12.41,11.18,170.98,18.56,165.47,82.64,92.79,54.73,18.25,84.32,12.06,36.5,20.18,88.42,85.54,25.31,48.76,41.14,24.62,37.9,76.91,32.94
2019-04-03,178.32,41.79,85.09,30.31,116.43,197.74,177.19,58.17,41.09,56.3,182.74,205.12,41.76,61.02,77.42,55.86,44.23,53.51,36.85,20.4,143.82,508.58,36.71,172.74,12.53,11.2,174.91,18.88,166.21,82.87,96.18,54.94,18.37,85.72,12.24,36.01,20.63,88.43,85.88,26.33,49.6,41.22,25.65,38.24,79.01,32.61
2019-04-04,181.07,42.04,84.43,30.25,115.95,198.38,177.16,58.21,40.53,56.18,183.9,194.75,41.69,61.04,77.45,56.0,44.15,53.95,36.83,20.23,140.27,501.48,37.2,172.54,12.59,11.07,179.13,18.87,171.37,83.18,96.57,54.96,18.47,86.2,12.32,36.14,20.97,88.79,87.15,26.66,49.22,41.03,25.88,38.15,79.6,32.75
2019-04-05,185.35,42.23,84.22,31.24,114.61,201.39,178.15,57.94,40.7,56.33,184.62,196.65,41.6,61.07,77.36,55.98,44.53,55.94,36.96,20.1,141.13,502.85,36.97,172.59,12.56,11.32,181.55,18.35,169.37,83.25,98.15,54.77,18.9,86.27,12.24,36.19,21.3,88.94,87.35,27.82,49.23,41.24,26.86,38.42,78.65,33.24
2019-04-08,186.5,42.39,85.06,30.79,114.93,203.56,178.91,58.19,40.86,57.13,184.84,200.24,41.67,62.36,77.65,56.32,45.23,55.75,37.09,19.81,142.28,506.5,36.66,172.79,12.53,11.31,184.77,18.35,169.77,83.68,98.61,54.89,18.94,86.67,12.24,36.4,21.44,89.25,87.3,27.74,49.37,41.32,26.79,38.67,79.75,33.62
2019-04-09,187.19,42.21,83.41,30.9,110.37,201.57,177.73,57.96,40.69,56.51,182.9,203.96,41.49,61.89,77.37,55.34,44.99,55.34,36.84,19.75,141.34,505.18,36.92,172.0,12.52,11.15,181.0,18.29,167.52,82.35,97.59,54.87,18.97,85.3,12.21,35.87,21.71,90.99,86.28,27.8,48.91,41.14,26.79,37.68,78.71,33.12
